hair,feathers,eggs,milk,airborne,aquatic,predator,backbone,breathes,venomous,fins,legs,tail,type
false,false,true,false,false,true,false,true,true,false,false,4,false,amphibian
true,true,true,false,false,false,false,true,false,false,true,2,false,amphibian
true,false,true,false,false,false,false,true,false,false,true,4,false,amphibian
false,false,true,false,false,true,false,true,true,true,false,4,false,amphibian
false,false,true,false,false,true,true,true,true,false,false,4,false,amphibian
false,false,true,false,false,true,false,true,false,false,false,4,true,amphibian
false,true,true,false,false,true,true,true,false,false,false,4,true,amphibian
true,false,true,false,false,true,false,true,true,true,false,2,false,amphibian
false,false,true,false,true,true,false,true,true,false,false,4,false,amphibian
false,false,true,false,false,true,true,true,true,false,false,4,false,amphibian
false,false,true,false,false,true,true,true,true,false,false,2,false,amphibian
true,false,true,false,false,true,true,true,true,true,false,4,false,amphibian
false,false,true,true,true,true,true,true,false,true,false,4,true,amphibian
false,false,false,false,false,true,true,true,true,true,true,4,true,amphibian
true,false,true,false,false,false,true,true,true,true,false,4,false,amphibian
false,false,true,false,false,true,true,true,true,false,false,4,true,amphibian
false,false,true,false,false,true,true,true,true,false,true,2,true,amphibian
false,false,true,false,false,true,false,true,true,false,false,4,false,amphibian
false,false,true,false,false,true,true,true,true,false,false,4,false,amphibian
false,false,true,false,false,true,false,true,true,false,false,4,false,amphibian
false,false,true,false,false,true,true,true,true,false,false,4,true,amphibian
false,false,true,false,false,true,true,true,true,false,false,2,false,amphibian
true,false,true,false,false,true,false,true,true,true,false,4,true,amphibian
false,false,true,false,false,true,true,true,true,false,false,2,false,amphibian
false,false,true,false,false,true,true,true,true,true,false,4,false,amphibian
false,false,true,false,false,true,false,true,true,false,false,4,false,amphibian
false,false,true,false,false,true,false,true,true,false,false,4,false,amphibian
true,false,true,false,false,false,false,true,true,false,true,2,false,amphibian
false,true,true,false,false,true,false,true,true,false,false,4,false,amphibian
false,false,true,false,false,true,false,false,true,false,false,4,false,amphibian
false,false,true,false,false,true,false,true,true,false,false,2,false,amphibian
false,false,true,false,false,true,true,true,true,false,false,4,false,amphibian
false,true,false,false,false,true,false,true,true,true,true,4,true,amphibian
false,false,false,false,false,true,true,true,true,true,false,4,true,amphibian
false,false,true,false,false,true,true,false,true,true,false,2,false,amphibian
false,false,true,false,false,false,true,true,false,false,false,4,false,amphibian
false,false,true,false,false,true,true,false,true,false,false,4,true,amphibian
false,false,true,false,false,false,true,true,false,true,false,4,true,amphibian
false,true,true,false,false,true,true,true,true,true,false,4,false,amphibian
false,false,true,false,false,false,true,true,true,true,false,4,true,amphibian
false,false,true,false,false,true,true,true,true,false,false,4,false,amphibian
false,false,false,false,false,false,true,true,false,false,false,4,true,amphibian
false,false,true,false,false,false,false,true,false,true,false,4,false,amphibian
false,false,true,false,false,true,false,true,false,false,false,4,false,amphibian
false,false,true,false,false,false,false,true,true,false,false,4,false,amphibian
false,false,true,true,false,true,false,true,true,false,false,4,true,amphibian
false,true,true,false,false,true,false,true,true,false,false,4,false,amphibian
false,true,true,false,false,true,true,true,true,false,false,4,true,amphibian
true,false,true,false,false,true,false,true,true,false,false,4,true,amphibian
false,false,false,false,false,false,true,true,false,false,false,4,false,amphibian
false,false,true,false,false,true,true,true,true,false,false,2,false,amphibian
false,false,true,false,false,true,false,true,true,true,false,4,false,amphibian
false,false,true,false,false,true,false,true,true,false,false,4,true,amphibian
false,false,true,false,false,true,false,true,true,true,false,4,true,amphibian
false,false,true,false,false,true,true,true,false,false,false,4,true,amphibian
false,false,false,false,false,true,false,true,true,false,false,2,true,amphibian
false,false,true,false,false,true,true,true,false,false,false,4,false,amphibian
false,true,true,false,false,true,false,false,true,true,false,4,false,amphibian
false,false,true,false,true,true,true,true,false,false,false,4,false,amphibian
false,false,true,false,false,true,true,true,true,true,false,4,true,amphibian
false,false,true,false,false,true,false,true,true,false,false,4,true,amphibian
false,true,true,false,false,true,true,true,true,true,false,4,true,amphibian
false,false,true,false,false,true,false,true,true,true,false,4,false,amphibian
false,false,true,false,false,true,true,true,true,false,false,2,false,amphibian
false,false,true,false,true,true,true,false,true,false,false,4,true,amphibian
false,true,true,false,false,true,true,true,true,true,false,4,false,amphibian
false,false,true,false,false,true,false,true,true,false,false,2,false,amphibian
false,false,true,true,false,true,false,true,true,false,false,4,false,amphibian
false,false,true,false,false,false,false,true,false,false,false,4,false,amphibian
false,false,true,true,false,false,false,false,false,false,false,4,false,amphibian
false,false,true,true,false,false,false,true,false,true,false,4,true,amphibian
false,false,true,false,false,true,true,true,true,false,false,4,false,amphibian
false,false,true,false,false,true,false,false,true,true,false,4,false,amphibian
false,false,true,false,false,true,true,false,true,false,false,4,false,amphibian
false,false,true,false,false,true,false,true,true,false,false,4,false,amphibian
true,false,false,false,false,true,false,true,true,true,false,4,false,amphibian
true,false,true,false,false,false,false,true,true,true,false,4,false,amphibian
true,false,true,false,false,false,true,true,false,false,false,4,true,amphibian
false,true,true,false,false,true,true,false,true,false,false,4,false,amphibian
false,false,true,false,false,true,false,true,false,false,false,4,true,amphibian
false,false,true,false,false,true,false,true,true,true,false,4,true,amphibian
false,false,true,false,false,false,true,true,false,true,false,2,false,amphibian
false,false,true,false,false,true,false,true,true,true,false,4,false,amphibian
false,false,true,false,false,true,true,true,true,false,false,4,false,amphibian
