Price,Prod. year,Leather interior,Mileage,Cylinders,Gear box type,Drive wheels,Airbags
59464,2016,Yes,76000,4,Automatic,Front,4
28382,2016,Yes,54317,4,Automatic,Front,4
45734,2016,Yes,61057,4,Automatic,Front,4
34889,2016,Yes,87768,4,Automatic,Front,4
23521,2018,No,22000,4,Automatic,Front,6
53154,2016,Yes,84506,4,Automatic,Front,4
12858,2015,No,91200,4,Automatic,Front,10
44752,2016,Yes,86000,4,Automatic,Front,4
16935,2015,Yes,71454,4,Automatic,Front,0
51965,2016,Yes,59515,4,Automatic,Front,4
21169,2015,No,33330,4,Automatic,4x4,8
40070,2016,Yes,25807,4,Automatic,Front,4
44213,2016,Yes,50255,4,Automatic,Front,4
54518,2017,Yes,40193,4,Automatic,Front,4
42651,2017,Yes,44995,4,Automatic,4x4,0
28909,2017,Yes,98000,4,Automatic,Front,4
59865,2019,Yes,13000,4,Automatic,Front,4
68223,2018,Yes,27406,4,Automatic,Front,4
39161,2017,Yes,73000,4,Automatic,Front,4
49858,2019,Yes,48000,4,Automatic,Front,4
51075,2017,Yes,40800,4,Automatic,Front,4
43576,2016,Yes,97129,4,Automatic,Front,4
28225,2018,No,24000,4,Automatic,Front,8
18817,2017,Yes,29094,4,Automatic,Front,0
39201,2015,Yes,35000,4,Automatic,Front,10
36426,2018,Yes,35643,4,Automatic,Front,4
9565,2015,Yes,42000,4,Automatic,Front,4
24302,2015,Yes,60618,4,Automatic,Front,4
55823,2018,Yes,38577,4,Automatic,Front,4
37000,2016,Yes,80000,4,Automatic,Front,4
21169,2018,No,25304,4,Automatic,Front,8
13485,2015,Yes,72369,4,Automatic,Front,4
21730,2017,Yes,32510,4,Automatic,Front,4
61499,2019,Yes,1217,4,Automatic,Front,4
51225,2017,Yes,58414,4,Automatic,Front,4
49798,2015,Yes,93555,4,Automatic,Front,4
43592,2017,Yes,39814,6,Automatic,Rear,0
40340,2016,Yes,59272,4,Automatic,Front,4
28830,2015,Yes,68243,4,Automatic,Front,4
13808,2016,Yes,38206,4,Automatic,Front,4
35570,2017,Yes,97880,4,Automatic,Front,4
16935,2015,Yes,94949,4,Automatic,Front,0
38213,2018,Yes,0,4,Automatic,Front,4
44134,2016,Yes,48910,4,Automatic,Front,4
54157,2015,Yes,78006,4,Automatic,Front,4
49889,2016,Yes,71867,4,Automatic,Front,4
27654,2015,Yes,87534,4,Automatic,Front,4
59586,2017,No,32000,6,Automatic,Front,10
44247,2016,Yes,51831,4,Automatic,Front,4
47042,2017,Yes,75186,4,Automatic,4x4,0
16465,2016,No,0,4,Automatic,Front,0
11604,2016,Yes,31970,4,Automatic,Front,4
38888,2017,No,50000,4,Automatic,4x4,10
17092,2016,No,71886,4,Automatic,Front,8
34497,2017,No,24000,6,Automatic,Front,8
24148,2016,No,10200,4,Automatic,Front,10
26030,2017,Yes,52062,4,Automatic,Front,0
39458,2016,Yes,70259,4,Automatic,Front,4
16283,2016,Yes,55225,4,Automatic,Front,4
19864,2015,Yes,52313,4,Automatic,Front,4
17249,2015,No,84291,4,Automatic,Front,0
16308,2016,Yes,1717,4,Automatic,4x4,0
30596,2016,Yes,71672,4,Automatic,Front,4
38445,2016,Yes,94558,4,Automatic,Front,4
37580,2015,Yes,95200,4,Automatic,Front,4
42369,2015,Yes,60304,4,Automatic,Front,4
57030,2018,Yes,5000,4,Automatic,Front,4
48575,2017,Yes,64652,4,Automatic,Front,4
52696,2016,Yes,48042,4,Automatic,Front,4
16935,2018,No,15333,4,Automatic,Front,8
13172,2017,Yes,33118,4,Automatic,Front,4
15053,2015,No,0,4,Automatic,Front,0
58507,2018,Yes,29709,4,Automatic,Front,4
53317,2015,Yes,28000,4,Automatic,Front,4
42987,2015,Yes,52878,4,Automatic,Front,4
56509,2018,Yes,17741,4,Automatic,Front,4
9418,2015,Yes,42875,4,Automatic,Front,4
28532,2016,Yes,94401,4,Automatic,Front,4
18189,2015,Yes,48000,4,Automatic,Front,4
18776,2015,Yes,51895,4,Automatic,Front,4
43576,2016,Yes,33261,4,Automatic,Front,4
18503,2016,Yes,31006,4,Automatic,Front,4
12541,2016,Yes,32986,4,Automatic,Front,4
36065,2016,Yes,32000,4,Automatic,Rear,10
66482,2017,Yes,16639,4,Automatic,Front,4
17562,2015,No,88000,4,Automatic,Front,10
16778,2015,Yes,33333,4,Automatic,Front,4
15677,2016,No,74800,4,Automatic,Front,8
54048,2017,Yes,9027,4,Automatic,Front,4
38822,2017,Yes,3474,4,Automatic,Front,4
75160,2017,Yes,66901,4,Automatic,Front,4
39201,2017,Yes,95541,6,Automatic,Rear,0
41867,2017,Yes,29220,4,Automatic,Front,4
44608,2016,Yes,63687,4,Automatic,Front,4
37066,2018,Yes,20388,4,Automatic,Front,4
14113,2015,Yes,45605,4,Automatic,Front,0
20228,2016,Yes,29112,4,Automatic,Front,4
43868,2015,Yes,61551,4,Automatic,Front,4
9418,2015,Yes,43514,4,Automatic,Front,4
