price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,yr_built
300000,3,1,1380,12000,1,0,1963
350000,5,3,2320,8400,1,0,1963
225000,3,1,1660,7210,1,0,1963
206000,3,1,920,8400,1,0,1963
371500,3,2,1370,8336,1,0,1964
500000,2,1,1280,5400,1,0,1964
345000,3,1,1250,7210,1,0,1964
538200,4,3,1780,7260,1,0,1964
519500,4,2,1540,17859,1,0,1964
199000,3,1,1390,12145,1,0,1964
400000,4,2,1560,8250,1,0,1964
500000,3,1,1800,7200,1,0,1964
280000,3,2,1780,11342,1,0,1964
269950,4,1,1440,9600,1,0,1964
858000,5,3,3620,12778,1,0,1964
354800,3,2,1370,78408,1,0,1964
350000,3,1,1180,7455,1,0,1964
400000,3,2,1350,7216,1,0,1964
333000,3,1,1620,5040,1,0,1964
532000,3,1,2360,5012,1,0,1964
453000,3,2,1430,9583,1,0,1964
485000,3,1,1250,7200,1,0,1964
305000,6,2,1900,8240,1,0,1964
649950,6,2,1900,8240,1,0,1964
215000,3,1,1280,9775,1,0,1964
624800,3,2,2250,14274,1,0,1964
545000,4,2,5461,22880,1,0,1964
295000,4,3,2120,7650,2,0,1964
810000,4,2,2920,10424,1,0,1964
194000,3,1,1400,7955,1,0,1964
415885,3,1,1310,4163,1,0,1964
329000,3,1,1600,5952,1,0,1964
145000,2,1,800,8125,1,0,1964
725000,3,2,1550,12262,1,0,1964
435000,3,2,2360,12744,2,0,1964
295000,4,2,1650,7200,1,0,1964
346000,5,1,1790,30456,1,0,1964
255000,3,1,1430,12420,1,0,1964
277000,4,1,1450,6250,1,0,1964
472500,3,2,1790,6800,1,0,1964
855000,4,3,2590,6250,2,0,1964
570000,3,2,1930,10929,1,0,1964
282500,4,1,1650,9750,1,0,1964
580000,5,2,2290,7125,1,0,1964
399950,5,2,2760,6420,1,0,1964
813500,4,2,2530,15520,1,0,1964
970000,5,3,3480,15185,2,0,1964
765000,5,3,2870,5700,1,0,1964
255950,4,1,1500,11050,1,0,1964
500000,3,1,940,10360,1,0,1964
675000,4,3,2400,3340,1,0,1964
495000,3,2,2660,192099,1,0,1964
604000,4,3,1960,5000,1,0,1965
180000,3,1,1384,8960,1,0,1965
250000,3,2,1440,9220,1,0,1965
399000,5,2,2620,7030,1,0,1965
173000,2,1,820,10450,1,0,1965
354000,3,1,940,10368,1,0,1965
221000,3,1,1250,7280,1,0,1965
152000,3,1,902,10464,1,0,1965
565000,3,3,2110,4000,1,0,1965
335000,3,1,1380,7470,1,0,1965
230000,3,1,1120,7500,1,0,1965
165000,3,1,970,6600,1,0,1965
330000,4,2,1180,7275,1,0,1965
416500,3,1,1100,4184,1,0,1965
627000,3,2,2310,10525,2,0,1965
354000,3,1,1130,11250,1,0,1965
355000,2,1,1450,9150,1,0,1965
650000,2,1,1280,6000,1,0,1965
