countriesAndTerritories,continentExp,popData2019,cases,deaths,handwashingFacilitiesHome
Timor_Leste,Asia,1293120,31,0,28
Moldova,Europe,4043258,126518,2572,87
Liberia,Africa,4937374,1676,83,1
Azerbaijan,Europe,10047719,175874,1922,89
Rwanda,Africa,12626938,6659,56,5
Haiti,America,11263079,9565,234,22
Bolivia,America,11513102,147150,9018,27
Dominican_Republic,America,10738957,154692,2361,47
Georgia,Europe,3996762,191063,1839,92
Jamaica,America,2948277,11710,273,67
Vanuatu,Oceania,299882,1,0,25
Armenia,Europe,2957728,148682,2503,95
Bosnia_and_Herzegovina,Europe,3300998,101117,3336,97
Colombia,America,50339443,1425774,39053,68
Afghanistan,Asia,38041757,49273,1971,38
Yemen,Asia,29161922,2083,606,49
Suriname,America,581363,5353,117,72
Serbia,Europe,6963764,266432,2331,98
Montenegro,Europe,622182,41426,582,99
Guatemala,America,17581476,129282,4423,77
Burundi,Africa,11530577,729,1,6
Guyana,America,782775,5920,155,77
Laos,Asia,7169456,41,0,56
Paraguay,America,7044639,93582,1953,80
Honduras,America,9746115,114359,2975,84
North_Macedonia,Europe,2077132,73638,2121,100
Lesotho,Africa,2125267,2250,44,6
Costa_Rica,America,5047561,150947,1895,86
Ecuador,America,17373657,214362,9958,87
Bangladesh,Asia,163046173,490533,7052,58
Albania,Europe,2862427,48530,1003,96
Ethiopia,Africa,112078727,116769,1806,8
Malawi,Africa,18628749,6066,187,8
Nepal,Asia,28608715,248423,1698,62
Burkina_Faso,Africa,20321383,4030,71,9
Saint_Lucia,America,182795,275,4,87
Benin,Africa,11801151,3299,44,12
Barbados,America,287021,292,7,88
Mozambique,Africa,30366043,16954,142,12
Sudan,Africa,42813237,21386,1347,13
Belize,America,390351,9295,195,90
India,Asia,1366417756,9884100,143355,68
Mexico,America,127575529,1250044,113953,90
Comoros,Africa,850891,628,7,16
Mali,Africa,19658023,5814,194,17
Trinidad_and_Tobago,America,1394969,6879,122,90
Togo,Africa,8082359,3251,66,17
Andorra,Europe,76177,7338,79,96
El_Salvador,America,6453550,41880,1205,91
Cuba,America,11333484,9423,137,92
Austria,Europe,8858775,320036,4400,96
Belarus,Europe,9452409,160295,1263,96
Gambia,Africa,2347696,3782,123,18
Belgium,Europe,11455519,608001,17951,96
Guinea_Bissau,Africa,1920917,2444,44,18
Anguilla,America,14872,10,0,84
Antigua_and_Barbuda,America,97115,148,4,84
Argentina,America,44780675,1498160,40766,84
Zambia,Africa,17861034,18274,367,18
Aruba,America,106310,5049,46,84
Democratic_Republic_of_the_Congo,Africa,86790568,14512,355,19
Guinea,Africa,12771246,13420,79,20
Bulgaria,Europe,7000039,179449,5688,96
Sierra_Leone,Africa,7813207,2440,75,21
Central_African_Republic,Africa,4745179,4936,63,22
Bahamas,America,389486,7674,163,84
Croatia,Europe,4076246,175886,2640,96
Papua_New_Guinea,Oceania,8776119,725,8,30
Cyprus,Europe,875899,15101,78,96
Czechia,Europe,10649800,580883,9613,96
Solomon_Islands,Oceania,669821,17,0,39
Cote_dIvoire,Africa,25716554,21680,133,22
Senegal,Africa,16296362,17075,349,22
Denmark,Europe,5806081,109758,941,96
Estonia,Europe,1324820,18055,149,96
Niger,Africa,23310719,2258,80,23
Faroe_Islands,Europe,48677,528,0,96
Finland,Europe,5517919,30810,453,96
Bermuda,America,62508,431,9,84
"Bonaire, Saint Eustatius and Saba",America,25983,173,3,84
Marshall_Islands,Oceania,58791,4,0,85
Brazil,America,211049519,6901952,181402,84
France,Europe,67012883,2377618,57804,96
Uganda,Africa,44269587,27648,221,23
Equatorial_Guinea,Africa,1355982,5185,85,24
British_Virgin_Islands,America,30033,76,1,84
Canada,America,37411038,460743,13431,84
Germany,Europe,83019213,1337078,21975,96
Cayman_Islands,America,64948,298,2,84
Gibraltar,Europe,33706,1075,5,96
Greece,Europe,10724599,124534,3625,96
Tajikistan,Asia,9321023,12704,88,73
Cambodia,Asia,16486542,359,0,74
Myanmar,Asia,54045422,108342,2268,75
Pakistan,Asia,216565317,440787,8832,80
Guernsey,Europe,64468,289,13,96
Holy_See,Europe,815,26,0,96
Philippines,Asia,108116622,449400,8733,82
Hungary,Europe,9772756,283870,7130,96
Chile,America,18952035,571919,15886,84
Syria,Asia,17070132,9166,518,83
Iceland,Europe,356991,5557,28,96
Thailand,Asia,69625581,4237,60,85
Mongolia,Asia,3225166,912,0,86
Eswatini,Africa,1148133,6768,127,24
Ireland,Europe,4904240,75719,2129,96
Vietnam,Asia,96462108,1397,35,86
Bhutan,Asia,763094,438,0,92
Palestine,Asia,4981422,124657,1079,92
Isle_of_Man,Europe,84589,370,25,96
Indonesia,Asia,270625567,617820,18819,94
Chad,Africa,15946882,1770,102,25
Somalia,Africa,15442906,4579,121,25
Angola,Africa,31825299,16188,371,27
Italy,Europe,60359546,1843283,64504,96
Jersey,Europe,107796,1785,32,96
Kosovo,Europe,1798506,46362,1210,96
Kenya,Africa,52573967,91892,1587,27
Madagascar,Africa,26969306,17638,258,27
Maldives,Asia,530957,13368,48,96
Iraq,Asia,39309789,574634,12579,97
Nigeria,Africa,200963603,73175,1197,33
Latvia,Europe,1919968,25675,349,96
Australia,Oceania,25203200,28031,908,34.5
Cameroon,Africa,25876387,25143,443,36
Ghana,Africa,30417858,53014,327,42
Curaçao,America,163423,3624,11,84
Liechtenstein,Europe,38378,1514,18,96
Lithuania,Europe,2794184,95126,822,96
Oman,Asia,4974992,126240,1471,97
Luxembourg,Europe,613894,42657,396,96
Dominica,America,71808,87,0,84
Zimbabwe,Africa,14645473,11246,307,42
South_Africa,Africa,58558267,860964,23276,44
Kazakhstan,Asia,18551428,186277,2552,99
Namibia,Africa,2494524,16536,160,45
Kyrgyzstan,Asia,6415851,77437,1755,100
Malta,Europe,493559,11101,166,96
Fiji,Oceania,889955,46,2,34.5
French_Polynesia,Oceania,279285,15618,91,34.5
Falkland_Islands_(Malvinas),America,3372,19,0,84
Congo,Africa,5380504,6049,99,48
United_Republic_of_Tanzania,Africa,58005461,509,21,48
Monaco,Europe,33085,668,2,96
Guam,Oceania,167295,7106,118,34.5
Netherlands,Europe,17282163,612746,10034,96
Bahrain,Asia,1641164,89143,348,82.5
Brunei_Darussalam,Asia,433296,152,3,82.5
China,Asia,1433783692,91994,4739,82.5
Greenland,America,56660,19,0,84
New_Caledonia,Oceania,282757,36,0,34.5
Grenada,America,112002,69,0,84
Montserrat,America,4991,13,1,84
Iran,Asia,82913893,1108269,52196,82.5
Norway,Europe,5328212,40022,387,96
Poland,Europe,37972812,1135676,22864,96
Nicaragua,America,6545503,5887,162,84
Israel,Asia,8519373,357859,2999,82.5
Portugal,Europe,10276617,348905,5543,96
Romania,Europe,19414458,556335,13385,96
Mauritania,Africa,4525698,10780,222,53
Panama,America,4246440,193007,3356,84
Peru,America,32510462,984973,36677,84
Puerto_Rico,America,2933404,107158,1272,84
Russia,Europe,145872260,2653928,46941,96
Sao_Tome_and_Principe,Africa,215048,1009,17,55
Japan,Asia,126860299,179653,2585,82.5
Tunisia,Africa,11694721,111361,3894,84
San_Marino,Europe,34453,1956,51,96
Algeria,Africa,43053054,92102,2596,85
Egypt,Africa,100388076,121575,6920,90
Jordan,Asia,10101697,259724,3365,82.5
Saint_Kitts_and_Nevis,America,52834,27,0,84
Slovakia,Europe,5450421,132984,1175,96
Slovenia,Europe,2080908,96314,1459,96
New_Zealand,Oceania,4783062,1740,25,34.5
Botswana,Africa,2303703,12501,37,22.5
Cape_Verde,Africa,549936,11357,110,22.5
Kuwait,Asia,4207077,146218,911,82.5
Djibouti,Africa,973557,5728,61,22.5
Spain,Europe,46937060,1728488,49134,96
Lebanon,Asia,6855709,146520,1200,82.5
Eritrea,Africa,3497117,711,0,22.5
Saint_Vincent_and_the_Grenadines,America,110593,98,0,84
Sweden,Europe,10230185,320098,7514,96
Switzerland,Europe,8544527,372329,5378,96
Malaysia,Asia,31949789,83475,415,82.5
Qatar,Asia,2832071,140961,240,82.5
Saudi_Arabia,Asia,34268529,359888,6048,82.5
Singapore,Asia,5804343,58320,29,82.5
South_Korea,Asia,51225321,43484,587,82.5
Gabon,Africa,2172578,9330,63,22.5
Sint_Maarten,America,42389,1232,26,84
Libya,Africa,6777453,90779,1299,22.5
Turkey,Europe,82003882,995471,16199,96
Turks_and_Caicos_islands,America,38194,769,6,84
Mauritius,Africa,1269670,515,10,22.5
Ukraine,Europe,43993643,900666,15247,96
Sri_Lanka,Asia,21323734,32790,152,82.5
United_Kingdom,Europe,66647112,1849403,64170,96
Morocco,Africa,36471766,399609,6624,22.5
United_States_of_America,America,329064917,16256754,299177,84
United_States_Virgin_Islands,America,104579,1807,23,84
Uruguay,America,3461731,9708,92,84
Taiwan,Asia,23773881,740,7,82.5
Northern_Mariana_Islands,Oceania,57213,113,2,34.5
Venezuela,America,28515829,107177,949,84
United_Arab_Emirates,Asia,9770526,184949,617,82.5
Seychelles,Africa,97741,187,0,22.5
Uzbekistan,Asia,32981715,75094,612,82.5
South_Sudan,Africa,11062114,3206,62,22.5
Western_Sahara,Africa,582458,766,1,22.5
